Player,Date,Moves,Length,Green Apples,Red Apples
Human,2026-06-06 11:13:58,10,3,0,0
Human,2026-06-06 11:14:13,6,3,0,0
Human,2026-06-06 11:14:24,5,3,0,0
Human,2026-06-06 11:14:27,8,3,0,0
Human,2026-06-06 11:14:38,30,6,3,0
Human,2026-06-06 11:15:13,67,7,6,2
Human,2026-06-06 14:30:07,2,3,0,0
Human,2026-06-06 14:32:44,9,3,0,0
Human,2026-06-06 14:34:08,3,3,0,0
Human,2026-06-06 14:36:15,8,3,0,0
Human,2026-06-06 14:36:51,2,3,0,0
Human,2026-06-06 18:03:27,4,3,0,0
Human,2026-06-06 18:04:26,3,3,0,0
Human,2026-06-06 18:06:27,4,3,0,0
Human,2026-06-06 18:07:41,1,3,0,0
Human,2026-06-06 18:08:57,4,3,0,0
Human,2026-06-06 18:10:04,10,3,0,0
Human,2026-06-06 18:16:50,4,3,0,0
Human,2026-06-06 18:18:50,1,3,0,0
Human,2026-06-06 18:19:13,2,3,0,0
Human,2026-06-06 18:23:29,9,3,0,0
Human,2026-06-06 18:26:02,4,3,0,0
Human,2026-06-06 18:26:56,1,3,0,0
Human,2026-06-06 18:27:43,2,3,0,0
Human,2026-06-06 18:29:00,3,3,0,0
Human,2026-06-06 18:29:50,4,3,0,0
Human,2026-06-06 18:30:44,2,3,0,0
Human,2026-06-06 18:31:45,8,3,0,0
Human,2026-06-06 18:35:13,7,3,0,0
Human,2026-06-06 18:37:45,7,2,0,1
Human,2026-06-06 18:40:08,3,4,1,0
Human,2026-06-06 18:40:45,7,3,0,0
Human,2026-06-06 18:41:18,4,3,0,0
Human,2026-06-06 18:42:31,8,3,0,0
Human,2026-06-06 18:43:11,4,3,0,0
Human,2026-06-06 18:43:41,4,3,0,0
Human,2026-06-06 18:44:13,2,3,0,0
Human,2026-06-06 18:45:26,4,3,0,0
Human,2026-06-06 18:45:58,1,3,0,0
Human,2026-06-06 18:47:44,6,3,0,0
Human,2026-06-06 18:48:18,1,3,0,0
Human,2026-06-06 18:48:23,18,3,0,0
Human,2026-06-06 18:49:21,221,18,18,3
Human,2026-06-06 18:49:57,85,8,5,0
Human,2026-06-06 18:53:55,237,12,9,0
Human,2026-06-06 18:54:02,7,3,0,0
Human,2026-06-06 18:54:13,85,5,2,0
Human,2026-06-06 18:54:15,2,3,0,0
Human,2026-06-06 18:55:03,394,15,12,0
Human,2026-06-06 18:55:07,2,3,0,0
Human,2026-06-06 18:55:12,7,3,0,0
Human,2026-06-06 18:55:37,227,9,6,0
Human,2026-06-06 18:55:40,13,2,0,1
Human,2026-06-06 18:55:43,6,3,0,0
Human,2026-06-06 18:56:16,299,16,13,0
Human,2026-06-06 18:57:13,529,22,19,0
Human,2026-06-06 19:08:27,133,8,6,1
Human,2026-06-06 19:10:36,947,33,30,0
Human,2026-06-06 19:11:33,523,12,13,4
Human,2026-06-06 19:11:36,5,3,0,0
Human,2026-06-06 19:15:27,62,6,3,0
Human,2026-06-06 19:15:57,8,3,0,0
Human,2026-06-06 19:16:26,77,2,3,4
Human,2026-06-06 19:16:46,6,3,0,0
Human,2026-06-06 19:17:59,5,3,0,0
Human,2026-06-06 19:18:47,7,3,0,0
Human,2026-06-06 19:19:23,7,3,0,0
Human,2026-06-06 19:19:57,4,3,0,0
Human,2026-06-06 19:20:36,8,4,1,0
Human,2026-06-06 19:20:59,3,3,0,0
Human,2026-06-06 20:53:02,9,3,0,0
Human,2026-06-06 21:04:44,1,3,0,0
Human,2026-06-06 21:05:04,8,3,0,0
Human,2026-06-06 21:07:50,3,3,0,0
Human,2026-06-06 21:09:56,6,3,0,0
Human,2026-06-06 21:10:14,9,3,0,0
Human,2026-06-06 21:11:54,10,3,0,0
Human,2026-06-06 21:12:54,7,3,0,0
Human,2026-06-06 21:15:53,9,3,0,0
Human,2026-06-06 21:17:33,2,3,0,0
Human,2026-06-06 21:18:55,6,4,1,0
Human,2026-06-06 21:20:51,6,4,1,0
Human,2026-06-06 21:21:56,1,3,0,0
Human,2026-06-06 21:24:11,8,3,0,0
Human,2026-06-06 21:26:39,8,3,0,0
Human,2026-06-06 21:27:51,5,3,0,0
Human,2026-06-06 21:28:13,3,3,0,0
Human,2026-06-06 21:28:42,9,4,1,0
Human,2026-06-06 21:29:57,7,3,0,0
Human,2026-06-06 21:30:31,1,3,0,0
Human,2026-06-06 21:30:57,6,3,0,0
Human,2026-06-06 21:32:09,8,3,0,0
Human,2026-06-06 21:33:05,1,3,0,0
Human,2026-06-06 21:33:26,9,2,0,1
Human,2026-06-06 21:33:50,1,3,0,0
Human,2026-06-06 21:34:49,1,3,0,0
Human,2026-06-06 21:37:17,5,3,0,0
Human,2026-06-06 21:38:01,6,3,0,0
Human,2026-06-06 21:39:21,5,3,0,0
Human,2026-06-06 21:40:06,7,3,0,0
Human,2026-06-06 21:40:49,4,3,0,0
Human,2026-06-06 21:40:55,8,3,0,0
Human,2026-06-06 21:41:32,4,3,0,0
Human,2026-06-06 21:41:50,6,2,0,1
Human,2026-06-06 21:42:02,10,3,0,0
Human,2026-06-06 21:42:36,2,3,0,0
Human,2026-06-06 21:42:53,5,2,0,1
Human,2026-06-06 21:42:55,4,3,0,0
Human,2026-06-06 21:43:23,43,4,1,0
Human,2026-06-06 21:43:25,4,3,0,0
Human,2026-06-06 21:43:42,144,12,9,0
Human,2026-06-06 21:43:50,3,3,0,0
Human,2026-06-06 21:46:42,4,3,0,0
Human,2026-06-06 21:46:44,2,3,0,0
Human,2026-06-06 21:46:48,8,2,0,1
Human,2026-06-06 21:49:05,40,5,2,0
Human,2026-06-06 21:49:08,7,3,0,0
Human,2026-06-06 21:52:38,18,3,0,0
Human,2026-06-06 21:52:54,129,8,7,2
Human,2026-06-08 08:41:14,35,3,0,0
Human,2026-06-08 08:41:27,91,7,5,1
Human,2026-06-08 09:05:53,1,3,0,0
Human,2026-06-08 09:51:47,57,7,4,0
Human,2026-06-08 10:00:13,2,3,0,0
Human,2026-06-08 10:00:21,12,3,0,0
Human,2026-06-08 10:01:01,4,2,0,1
Human,2026-06-08 10:01:22,13,4,1,0
Human,2026-06-08 10:24:47,10,3,0,0
Human,2026-06-08 10:24:51,4,3,0,0
Human,2026-06-08 10:25:26,15,3,0,0
Human,2026-06-08 10:27:13,18,4,1,0
Human,2026-06-08 10:33:05,35,3,0,0
Human,2026-06-08 10:33:38,8,4,1,0
Human,2026-06-08 10:34:16,7,3,0,0
Human,2026-06-08 10:39:22,10,3,0,0
Human,2026-06-08 12:45:11,9,3,0,0
Human,2026-06-08 12:45:49,33,3,0,0
Human,2026-06-08 12:46:22,53,3,0,0
Human,2026-06-08 12:46:36,107,4,3,2
Human,2026-06-08 12:47:23,385,8,7,2
Human,2026-06-08 12:48:03,348,14,11,0
Human,2026-06-08 12:48:45,382,10,8,1
Human,2026-06-08 12:50:20,835,6,15,12
Human,2026-06-08 12:52:15,1091,9,21,15
Human,2026-06-08 13:44:56,16,3,0,0
Human,2026-06-08 13:45:27,25,6,3,0
Human,2026-06-08 13:47:30,17,3,0,0
Human,2026-06-08 16:06:49,51,4,1,0
Human,2026-06-08 16:07:01,4,3,0,0
Human,2026-06-08 16:07:09,25,4,1,0
Human,2026-06-08 16:07:24,5,4,1,0
Human,2026-06-08 16:07:41,80,5,3,1
